HEALTHY_FEATURES,Unnamed: 1,OBJEKT,BAUM STRUKTUR,Unnamed: 4,SYNONYMS-woxikon,Unnamed: 6,SYNONYMS-thesaurus,HIERARCHY
Blume,,['DRÜSE'],,,"[['Pflanze', 'Schwanz', 'Blume', 'Duft', 'Aroma', 'Flor', 'Schaum', 'Schweif', 'Körperteil', 'Gewächs', 'Wohlgeruch', 'Schaumkrone', 'Bierschaum', 'Veigerl', 'Bierkrone']]",,"[['Blume', 'blühender Trieb', 'Blühtrieb']]",
Kreisform außen,,[],,,"[[], ['außerhalb', 'außen', 'äußerlich', 'draußen']]",,"['', ['außen', 'äußerlich', 'habituell']]",
mit kreisähnlichen Formen gefüllter Ring,,[],,,"[['mittels', 'plus', 'inklusive', 'samt', 'einbezogen', 'auch', 'eingerechnet', 'inbegriffen', 'vermittels', 'bei', 'mit', 'durch', 'gemeinsam', 'einbegriffen', 'zusammen', 'im'], [], ['schaffen', 'entwickeln', 'ändern', 'durchsetzen', 'beeinflussen', 'gestalten', 'herstellen', 'konstruieren', 'unterrichten', 'entwerfen', 'anfertigen', 'pressen', 'einwirken', 'zusammensetzen', 'überreden', 'zusammenfügen', 'abändern', 'schnitzen', 'herausarbeiten', 'herausschneiden', 'meißeln', 'kneten', 'deformieren', 'heranbilden', 'formen', 'be', 'Wirkung', 'entstehen', 'einwirken', 'granulieren', 'emporwachsen'], [], ['Bund', 'Vereinigung', 'Ring', 'Zone', 'Zusammenschluss', 'Arena', 'Reifen', 'Fahrbahn', 'mühelos', 'Band', 'Syndikat', 'Kampfplatz', 'Gruppe', 'Straße', 'Verschlussstück', 'Fingerring']]",,"[['anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über'], '', ['ans Tageslicht kommen', 'Ausdruck finden (in)', '(sich) ausprägen', '(sich) erweisen', '(sich) formen', '(sich) niederschlagen (in)', '(sich) zeigen (in)', 'rüberkommen'], '', ['Kringel', 'Ring', 'Windung']]",
eindeutiges Zentrum,,[],,,"[[], ['Mitte', 'Hauptstadt', 'Zentrum', 'Schutz', 'City', 'Bund', 'Innenstadt', 'Tiefe', 'Mittelpunkt', 'Schwerpunkt', 'Brennpunkt', 'Innenraum', 'Hauptsache', 'Innerste', 'Herzstück', 'Kreuzungspunkt', 'Begegnungsstätte', 'Kernpunkt', 'Tummelplatz', 'Straße']]",,"['', ['Kern', 'Knotenpunkt', 'Mittelpunkt', 'Zentrum', 'Epizentrum', 'Herzstück']]",
mindestens 10 Zellen sichtbar,,"['ZELLE', 'ZELLE']",,,"[['mindestens', 'tatsächlich', 'immerhin', 'sowieso', 'zum', 'zum', 'gut', 'als'], [], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle'], ['deutlich', 'direkt', 'klar', 'sichtbar', 'erkennbar', 'auffällig', 'kennzeichnend', 'auffallend', 'körperlich', 'spürbar', 'merklich', 'wahrnehmbar', 'offenkundig', 'anhaltend', 'merkbar', 'merk', 'leicht', 'völlig', 'gut', 'mit', 'ins', 'deutlich', 'klar']]",,"[['min.', 'mindestens', 'minimal', 'nicht unter', 'wenigstens', 'Minimum'], '', '', ['sichtbar', 'visibel']]",
Zellen sind klar abgrenzbar,,"['ZELLE', 'ZELLE']",,,"[['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle'], ['befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten'], ['deutlich', 'bestimmt', 'rein', 'klar', 'eindeutig', 'sicher', 'durchaus', 'offen', 'offenbar', 'sichtbar', 'erkennbar', 'natürlich', 'entschieden', 'ausdrücklich', 'gegliedert', 'explizit', 'gelöst', 'schön', 'offensichtlich', 'konkret', 'präzise', 'verständlich', 'selbstverständlich', 'fein', 'anschaulich', 'abgegrenzt', 'sicherlich', 'entschlossen', 'freundlich', 'nachvollziehbar', 'einverstanden'], ['unterscheidend', 'klar']]",,"['', ['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)'], ['durchscheinend', 'durchsichtig', 'klar', 'transparent', 'ungetrübt'], '']",
Zellen sind annähernd gleich groß,,"['ZELLE', 'ZELLE']",,,"[['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle'], ['befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten'], ['rund', 'nahezu', 'ungefähr', 'geschätzt', 'circa', 'beinahe', 'annähernd', 'genügend', 'verhältnismäßig', 'zirka', 'schätzungsweise', 'gewissermaßen', 'einigermaßen', 'etwa', 'neben', 'leidlich', 'annäherungsweise', 'fast', 'entsprechend', 'um', 'so', 'kurzangebunden'], ['direkt', 'schnell', 'bald', 'sofort', 'identisch', 'genauso', 'zurzeit', 'gleichmäßig', 'angemessen', 'gleichwertig', 'gleichberechtigt', 'sogleich', 'deckungsgleich', 'unverzüglich', 'alsbald', 'unwesentlich', 'gleichgültig', 'übereinstimmend', 'einhellig', 'gleichförmig', 'auch', 'gleichrangig', 'prompt', 'demnächst', 'gleichartig', 'augenblicklich', 'schnellstens', 'ähnlich', 'desinteressiert', 'ebenfalls', 'sinnverwandt'], ['bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']]",,"['', ['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)'], ['annähernd', 'beinahe', 'fast', 'haarscharf', 'kaum', 'knapp', 'nahezu', 'so gut wie', 'soeben', 'soeben noch', 'auf Kante genäht', 'bald', 'fünf vor zwölf', 'gerade noch', 'kurz vor knapp', 'um ein Haar'], ['aus einem Guss', 'ebenmäßig', 'einheitlich', 'gleich', 'gleichartig', 'gleichförmig', 'homogen', 'identisch'], ['von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']]",
klare Drüsenwand,,['DRÜSE'],,,"[['Klare', 'Schnaps'], []]",,"['', '']",
sternförmige Anordnung der Zellen,,"['ZELLE', 'ZELLE']",,,"[[], ['Verfügung', 'Gattung', 'Führung', 'Leitung', 'Kategorie', 'Schritt', 'Gestalt', 'Bestimmung', 'Kontext', 'Berechnung', 'Einteilung', 'Design', 'Befehl', 'Reihenfolge', 'Anordnung', 'Mischung', 'Order', 'Bedingung', 'Auflage', 'Festlegung', 'Erlass', 'Anweisung', 'Verpflichtung', 'Formation', 'Zusammenstellung', 'Beschaffenheit', 'Gebot', 'Gruppierung', 'Statut', 'Appell', 'Platzierung', 'Gesetzentwurf', 'Positionierung', 'Karosserie', 'Klasse', 'Mahnung', 'Formierung', 'Memento', 'Grundgerüst', 'Diktat', 'Abstufung', 'Direktive', 'Ordnung'], ['welcher'], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']]",,"['', ['Anordnung', 'Anweisung', 'Instruktion', 'Vorschrift'], ['der', 'dieser', 'jener', 'solcher', 'welcher'], '']",
    ,,,,,,,,
info:,,,,,,,,
number of survery part:13,,,,,,,,
um Lumen 9 Außenlumen,,['LUMEN'],,,"[['ungefähr', 'circa', 'beinahe', 'annähernd', 'vorbei', 'zirka', 'schätzungsweise', 'ringsum', 'reihum', 'aus', 'aufgrund', 'gegen', 'für', 'zu', 'um'], [], [], []]",,"[['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die'], ['Einheit des Lichtstromes', 'Lumen'], '', '']",
Lumen rund,,['LUMEN'],,,"[[], ['rund', 'ungefähr', 'geschätzt', 'breit', 'circa', 'beinahe', 'dick', 'vollendet', 'annähernd', 'zirka', 'ausgedehnt', 'kräftig', 'kugelförmig', 'rundlich', 'etwa', 'kreisrund', 'meisterhaft', 'annäherungsweise', 'stämmig', 'ausladend', 'gegen', 'kugelrund', 'dicklich', 'sehr', 'sehr', 'um', 'wohlbeleibt', 'mollig', 'korpulent', 'beleibt']]",,"[['Einheit des Lichtstromes', 'Lumen'], ['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die']]",
Außenlumen oval,,['LUMEN'],,,"[[], ['oval', 'eiförmig', 'ellipsoid', 'eirund', 'ellipsenförmig']]",,"['', '']",
dunkellila Zellkerne ,,"['ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[[], []]",,"['', '']",
Zellkerne um Außenlumen,,"['LUMEN', 'ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[[], ['ungefähr', 'circa', 'beinahe', 'annähernd', 'vorbei', 'zirka', 'schätzungsweise', 'ringsum', 'reihum', 'aus', 'aufgrund', 'gegen', 'für', 'zu', 'um'], []]",,"['', ['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die'], '']",
dicke Zell(lumen)wände  ,,"['LUMEN', 'ZELLE']",,,"[['durchaus', 'Stärke', 'Maß', 'Ausmaß', 'Dicke', 'Dicker', 'Adipositas', 'Körperfülle', 'Dickwanst', 'Korpulenz', 'alle'], []]",,"[['Dicke', 'Festigkeit', 'Festigkeitsgrad', 'Steifigkeit'], '']",
Außenlumen groß,,['LUMEN'],,,"[[], ['bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']]",,"['', ['von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']]",
mehrere abgegrenzte zelle,,"['ZELLE', 'ZELLE']",,,"[['viele', 'mehrere', 'vielerlei', 'vielgestaltig', 'mannigfach', 'einige', 'allerart'], [], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']]",,"[['mehr als einer', 'mehrere', 'mindestens zwei', 'nicht alleine', 'nicht nur einer', 'zwei oder mehr'], '', ['Gewebezelle', 'Zelle']]",
zellen außen um Lumen,,"['LUMEN', 'ZELLE', 'ZELLE']",,,"[['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle'], ['außerhalb', 'außen', 'äußerlich', 'draußen'], ['ungefähr', 'circa', 'beinahe', 'annähernd', 'vorbei', 'zirka', 'schätzungsweise', 'ringsum', 'reihum', 'aus', 'aufgrund', 'gegen', 'für', 'zu', 'um'], []]",,"['', ['außen', 'äußerlich', 'habituell'], ['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die'], ['Einheit des Lichtstromes', 'Lumen']]",
symmetrisch,,[],,,"[['gleichmäßig', 'harmonisch', 'gleichartig', 'sich', 'gleich', 'im', 'schön', 'ebenmäßig']]",,"[['ausgeglichen', 'gleichförmig', 'gleichmäßig', 'symmetrisch']]",
abgegrenzt,,[],,,"[['begrenzt', 'abgegrenzt', 'vorhersagbar']]",,[''],
kerne basal nah,,['ZELLKERN'],,,"[['Bedeutung', 'Mitte', 'Ergebnis', 'Zentrum', 'Stein', 'Innere', 'Kern', 'Wesen', 'Charakter', 'Mittelpunkt', 'Schwerpunkt', 'Fokus', 'Bilanz', 'Hauptsache', 'Füllung', 'Grundidee', 'Innerste', 'Kernstück', 'Kreuzungspunkt', 'Essenz', 'Quintessenz', 'Angelpunkt', 'Resümee', 'Ausgedrückte', 'Kerngruppe', 'Lebensnerv', 'Samenkern', 'springender', 'Obstkern', 'Füllsel', 'fester', 'Nabel'], ['wesentlich', 'grundlegend', 'fundamental', 'elementar', 'gravierend', 'essenziell', 'substanziell', 'grundsätzlich'], ['verbunden', 'nahe', 'bald', 'eng', 'verknüpft', 'künftig', 'nah', 'vertraut', 'untrennbar', 'angrenzend', 'benachbart', 'nebenan', 'herzlich', 'innig', 'unzertrennlich', 'sehr', 'sehr', 'räumlich', 'nicht', 'nahe', 'in']]",,"['', ['die Grundlage bildend', 'elementar', 'essentiell', 'essenziell', 'fundamental', 'Grund- (z.B. Grundkenntnisse)', 'grundlegend', 'primär', 'prinzipiell', 'substanziell', 'von elementarer Bedeutung', 'von essentieller Bedeutung', 'von essenzieller Bedeutung', 'von grundlegender Bedeutung', 'wesentlich', 'wichtig', 'basal', 'eminent'], ['nah (räumlich)', '(etwas) in der Nähe', 'nahegelegen']]",
nicht dunkel lila,,[],,,"[['keineswegs', 'keinesfalls', 'nicht', 'nicht', 'bitte', 'auf'], ['Nacht', 'unklar', 'Zweifel', 'bedeckt', 'Geheimnis', 'Dunkel', 'dunkel', 'Rätsel', 'geheim', 'verwickelt', 'Dunkelheit', 'verborgen', 'Finsternis', 'Nordseite', 'lose', 'fraglich', 'Schein', 'kräftig', 'Dämmerung', 'strittig', 'zweifelhaft', 'vage', 'fragwürdig', 'Fragezeichen', 'gedämpft', 'bedenklich', 'aussichtslos', 'Unklarheit', 'undurchsichtig', 'Ungewissheit', 'verdächtig', 'düster', 'tragisch', 'magisch', 'Kernschatten', 'trüb'], ['violett', 'mittelmäßig', 'lavendelblau', 'fliederfarben', 'schlecht', 'veilchenblau']]",,"[['nicht', 'absolut nicht', 'alles andere als', 'auf keinem Wege', 'auf (gar) keinen Fall', 'bei weitem nicht', 'durchaus nicht', 'egal, wie man es betrachtet, nicht', 'ganz und gar nicht', 'ganz und gar unmöglich', 'gar nicht', 'in keiner Beziehung', 'in keiner Weise', 'in keinerlei Hinsicht', 'in keinster Weise', 'jetzt nicht und überhaupt niemals', 'kein bisschen', 'keinesfalls', 'keineswegs', 'mitnichten', 'nicht im Entferntesten', 'nicht im Geringsten', 'nicht im Mindesten', 'nicht um ein Haar', 'nicht und niemals', '(daran ist) nicht zu denken', 'partout nicht', 'überhaupt nicht', 'um kein Haar', 'unter keinen Umständen', 'völlig ausgeschlossen', 'wie auch immer nicht', 'hinten und vorne nicht', 'i wo!', 'mitnichten und mit Neffen'], ['dunkel', 'düster', 'finster', 'schwarz'], ['blaurot', 'fliederblau', 'lila', 'purpur', 'violett']]",
viel sekret /mucin,,[],,,"[['häufig', 'Viel', 'viel', 'wiederholt', 'mehrmals', 'ausreichend', 'konzentriert', 'unendlich', 'enorm', 'reichlich', 'zahlreich', 'umfangreich', 'ausgiebig', 'massenhaft', 'endlos', 'üppig', 'allerhand', 'unaufhörlich', 'mannigfaltig', 'oft', 'exorbitant', 'mehr', 'haufenweise', 'sehr', 'millionen', 'zahllos', 'wie', 'vielköpfig', 'sehr', 'eine', 'en'], ['geheim', 'Sekret', 'sekret', 'Ausscheidung', 'Schleim', 'abgesondert', 'Abscheidung', 'Absonderung', 'klandestin', 'Nasenschleim'], []]",,"[['haufenweise', 'im Überfluss', 'in großer Zahl', 'massenhaft', 'massenweise', 'reich', 'reichhaltig', 'reichlich', 'reihenweise', 'unbegrenzt', 'unzählig', 'üppig', 'viel', 'vielzählig', 'waggonweise', 'zahlreich', 'abundant', 'en masse', 'Legion sein', 'zuhauf', 'eine Menge Holz', 'in Hülle und Fülle', 'in rauen Mengen', 'massig', 'wie Sand am Meer'], ['Ausscheidung', 'Körperausscheidung', 'Sekret', 'Exkretion'], '']",
wenig drüsengewebe,,['DRÜSE'],,,"[['Wenig', 'wenig', 'kaum', 'knapp', 'klein', 'Idee', 'gelegentlich', 'einzeln', 'Spur', 'geringfügig', 'minimal', 'gemein', 'dürr', 'unbedeutend', 'bisschen', 'Bisschen', 'durchsichtig', 'mangelhaft', 'marginal', 'überschaubar', 'zart', 'karg', 'dürftig', 'kläglich', 'Kleinigkeit', 'belanglos', 'schlaff', 'Nuance', 'spartanisch', 'wackelig', 'kümmerlich', 'Gran', 'Etwas', 'etwas', 'selten', 'sehr', 'Winzigkeit'], []]",,"[['gering', 'kümmerlich', 'schwach', 'wenig'], '']",
    ,,,,,,,,
info:,,,,,,,,
number of survery part:2,,,,,,,,
