HEALTHY_FEATURES,,OBJEKT,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
mit kreisähnlichen Formen gefüllter Ring,,[],,,"['mittels', 'plus', 'inklusive', 'samt', 'einbezogen', 'auch', 'eingerechnet', 'inbegriffen', 'vermittels', 'bei', 'mit', 'durch', 'gemeinsam', 'einbegriffen', 'zusammen', 'im', 'schaffen', 'entwickeln', 'ändern', 'durchsetzen', 'beeinflussen', 'gestalten', 'herstellen', 'konstruieren', 'unterrichten', 'entwerfen', 'anfertigen', 'pressen', 'einwirken', 'zusammensetzen', 'überreden', 'zusammenfügen', 'abändern', 'schnitzen', 'herausarbeiten', 'herausschneiden', 'meißeln', 'kneten', 'deformieren', 'heranbilden', 'formen', 'be', 'Wirkung', 'entstehen', 'einwirken', 'granulieren', 'emporwachsen', 'Bund', 'Vereinigung', 'Ring', 'Zone', 'Zusammenschluss', 'Arena', 'Reifen', 'Fahrbahn', 'mühelos', 'Band', 'Syndikat', 'Kampfplatz', 'Gruppe', 'Straße', 'Verschlussstück', 'Fingerring']",,"['anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über', 'ans Tageslicht kommen', 'Ausdruck finden (in)', '(sich) ausprägen', '(sich) erweisen', '(sich) formen', '(sich) niederschlagen (in)', '(sich) zeigen (in)', 'rüberkommen', 'Kringel', 'Ring', 'Windung']",
eindeutiges Zentrum,,[],,,"['Mitte', 'Hauptstadt', 'Zentrum', 'Schutz', 'City', 'Bund', 'Innenstadt', 'Tiefe', 'Mittelpunkt', 'Schwerpunkt', 'Brennpunkt', 'Innenraum', 'Hauptsache', 'Innerste', 'Herzstück', 'Kreuzungspunkt', 'Begegnungsstätte', 'Kernpunkt', 'Tummelplatz', 'Straße']",,"['Kern', 'Knotenpunkt', 'Mittelpunkt', 'Zentrum', 'Epizentrum', 'Herzstück']",
mindestens 10 Zellen sichtbar,,['ZELLE'],,,"['mindestens', 'tatsächlich', 'immerhin', 'sowieso', 'zum', 'zum', 'gut', 'als', 'Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'deutlich', 'direkt', 'klar', 'sichtbar', 'erkennbar', 'auffällig', 'kennzeichnend', 'auffallend', 'körperlich', 'spürbar', 'merklich', 'wahrnehmbar', 'offenkundig', 'anhaltend', 'merkbar', 'merk', 'leicht', 'völlig', 'gut', 'mit', 'ins', 'deutlich', 'klar']",,"['min.', 'mindestens', 'minimal', 'nicht unter', 'wenigstens', 'Minimum', 'sichtbar', 'visibel']",
Zellen sind klar abgrenzbar,,['ZELLE'],,,"['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten', 'deutlich', 'bestimmt', 'rein', 'klar', 'eindeutig', 'sicher', 'durchaus', 'offen', 'offenbar', 'sichtbar', 'erkennbar', 'natürlich', 'entschieden', 'ausdrücklich', 'gegliedert', 'explizit', 'gelöst', 'schön', 'offensichtlich', 'konkret', 'präzise', 'verständlich', 'selbstverständlich', 'fein', 'anschaulich', 'abgegrenzt', 'sicherlich', 'entschlossen', 'freundlich', 'nachvollziehbar', 'einverstanden', 'unterscheidend', 'klar']",,"['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)', 'durchscheinend', 'durchsichtig', 'klar', 'transparent', 'ungetrübt']",
Zellen sind annähernd gleich groß,,['ZELLE'],,,"['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten', 'rund', 'nahezu', 'ungefähr', 'geschätzt', 'circa', 'beinahe', 'annähernd', 'genügend', 'verhältnismäßig', 'zirka', 'schätzungsweise', 'gewissermaßen', 'einigermaßen', 'etwa', 'neben', 'leidlich', 'annäherungsweise', 'fast', 'entsprechend', 'um', 'so', 'kurzangebunden', 'direkt', 'schnell', 'bald', 'sofort', 'identisch', 'genauso', 'zurzeit', 'gleichmäßig', 'angemessen', 'gleichwertig', 'gleichberechtigt', 'sogleich', 'deckungsgleich', 'unverzüglich', 'alsbald', 'unwesentlich', 'gleichgültig', 'übereinstimmend', 'einhellig', 'gleichförmig', 'auch', 'gleichrangig', 'prompt', 'demnächst', 'gleichartig', 'augenblicklich', 'schnellstens', 'ähnlich', 'desinteressiert', 'ebenfalls', 'sinnverwandt', 'bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']",,"['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)', 'annähernd', 'beinahe', 'fast', 'haarscharf', 'kaum', 'knapp', 'nahezu', 'so gut wie', 'soeben', 'soeben noch', 'auf Kante genäht', 'bald', 'fünf vor zwölf', 'gerade noch', 'kurz vor knapp', 'um ein Haar', 'aus einem Guss', 'ebenmäßig', 'einheitlich', 'gleich', 'gleichartig', 'gleichförmig', 'homogen', 'identisch', 'von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']",
klare Drüsenwand,,['DRÜSE'],,,"['Klare', 'Schnaps']",,[],
sternförmige Anordnung der Zellen,,['ZELLE'],,,"['Verfügung', 'Gattung', 'Führung', 'Leitung', 'Kategorie', 'Schritt', 'Gestalt', 'Bestimmung', 'Kontext', 'Berechnung', 'Einteilung', 'Design', 'Befehl', 'Reihenfolge', 'Anordnung', 'Mischung', 'Order', 'Bedingung', 'Auflage', 'Festlegung', 'Erlass', 'Anweisung', 'Verpflichtung', 'Formation', 'Zusammenstellung', 'Beschaffenheit', 'Gebot', 'Gruppierung', 'Statut', 'Appell', 'Platzierung', 'Gesetzentwurf', 'Positionierung', 'Karosserie', 'Klasse', 'Mahnung', 'Formierung', 'Memento', 'Grundgerüst', 'Diktat', 'Abstufung', 'Direktive', 'Ordnung', 'welcher', 'Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']",,"['Anordnung', 'Anweisung', 'Instruktion', 'Vorschrift', 'der', 'dieser', 'jener', 'solcher', 'welcher']",
    ,,,,,,,,
info:,,,,,,,,
number of survery part:13,,,,,,,,
